,dim1,dim2,dim3
239,28.46699924286919,28.22220470947557,28.135908549676174
240,28.457456865456656,28.2165780606113,28.13636972858073
241,28.447991281984436,28.211123400380078,28.137041293867206
242,28.43860612209396,28.20584300607401,28.137923271717856
243,28.42930499051849,28.20073909346934,28.139015607669382
244,28.420091465746125,28.195813815882232,28.14031816638328
245,28.41096909868889,28.191069263243577,28.141830731442308
246,28.401941411358234,28.186507461193244,28.143553005173167
247,28.393011895547424,28.182130370193985,28.14548460849554
248,28.384184011521377,28.177939884665317,28.14762508079734
249,28.37546118671428,28.173937832137792,28.149973879836345
250,28.366846814435636,28.17012597242786,28.152530381668303
251,28.3583442525851,28.16650599683367,28.15529388060149
252,28.34995682237667,28.163079527352075,28.15826358917783
253,28.341687807072656,28.159848115917175,28.161438638180677
254,28.33354045072795,28.156813243660654,28.164818076669306
255,28.325517956944918,28.15397632019419,28.168400872040134
256,28.317623487639445,28.1513386829142,28.17218591011468
257,28.30986016181857,28.14890159632931,28.176171995254222
258,28.302231054370075,28.146666251410632,28.180357850501217
259,28.294739194864466,28.144633764965118,28.18474211774745
260,28.287387566369933,28.1428051790323,28.189323357928895
261,28.280179104280563,28.141181460304672,28.19410005124728
262,28.273116695158265,28.13976349957183,28.19907059741834
263,28.26620317558877,28.13855211118869,28.204233315946745
264,28.259441331052145,28.137548032567892,28.209586446427565
265,28.25283389480816,28.136751923696604,28.215128148874236
266,28.246383546797016,28.13616436667807,28.220856504072856
267,28.240092912555777,28.135785865297997,28.226769513962786
268,28.233964562150994,28.13561684461587,28.232865102043533
269,28.228001009127773,28.135657650581397,28.23914111380784
270,28.22220470947557,28.135908549676174,28.245595317200866
271,28.2165780606113,28.13636972858073,28.25222540310526
272,28.211123400380078,28.137041293867206,28.25902898585208
273,28.20584300607401,28.137923271717856,28.2660036037574
274,28.20073909346934,28.139015607669382,28.273146719684398
275,28.195813815882232,28.14031816638328,28.28045572163083
276,28.191069263243577,28.141830731442308,28.287927923341815
277,28.186507461193244,28.143553005173167,28.295560564947674
278,28.182130370193985,28.14548460849554,28.30335081362672
279,28.177939884665317,28.14762508079734,28.31129576429281
280,28.173937832137792,28.149973879836345,28.319392440307546
281,28.17012597242786,28.152530381668303,28.327637794216937
282,28.16650599683367,28.15529388060149,28.336028708512316
