,NINO_CESM2_10
1263,27.8037
1264,27.7729
1265,27.732
1266,27.6847
1267,27.6383
1268,27.5802
1269,27.5041
1270,27.4482
1271,27.3923
1272,27.3423
1273,27.2855
1274,27.2329
1275,27.1733
1276,27.1131
1277,27.0653
1278,27.0272
1279,26.9995
1280,26.9799
1281,26.945
1282,26.9037
1283,26.8627
1284,26.8247
1285,26.7826
1286,26.7422
1287,26.7275
1288,26.7143
1289,26.7054
1290,26.6939
1291,26.7015
1292,26.6874
1293,26.6598
1294,26.6394
1295,26.611
1296,26.5763
1297,26.5238
1298,26.4843
1299,26.4451
1300,26.3757
1301,26.2981
1302,26.2185
1303,26.1506
1304,26.0908
1305,26.0647
1306,26.0513
1307,26.048
1308,26.0485
1309,26.0201
1310,25.9704
1311,25.9167
1312,25.8839
1313,25.8735
1314,25.8703
1315,25.879
1316,25.8871
1317,25.8598
1318,25.8118
1319,25.7595
1320,25.7259
1321,25.7106
1322,25.683
1323,25.6571
1324,25.6586
1325,25.6574
1326,25.6502
1327,25.6384
1328,25.6256
1329,25.637
1330,25.6576
1331,25.6618
1332,25.6517
1333,25.6421
1334,25.6294
1335,25.6024
1336,25.5565
1337,25.5138
1338,25.4829
1339,25.4513
1340,25.4161
1341,25.3832
1342,25.3472
1343,25.2866
1344,25.2345
1345,25.1871
1346,25.1629
1347,25.1399
1348,25.0944
1349,25.0391
1350,24.9942
1351,24.9432
1352,24.8824
1353,24.8372
1354,24.795
1355,24.7441
1356,24.6896
1357,24.6589
1358,24.6575
1359,24.653
1360,24.648
1361,24.628
1362,24.6045
1363,24.5724
1364,24.5339
1365,24.495
1366,24.4399
1367,24.381
1368,24.325
1369,24.2661
1370,24.2348
1371,24.2555
1372,24.3122
1373,24.3365
1374,24.3592
1375,24.3592
1376,24.3498
1377,24.3154
1378,24.3139
1379,24.2934
1380,24.2437
1381,24.1971
1382,24.1422
1383,24.1145
1384,24.1302
1385,24.1844
1386,24.2867
1387,24.3996
1388,24.4675
1389,24.4709
1390,24.4534
1391,24.4363
1392,24.4043
1393,24.3717
1394,24.335
1395,24.2839
1396,24.2316
1397,24.1982
1398,24.177
1399,24.1635
1400,24.1548
1401,24.1593
1402,24.1828
1403,24.2066
1404,24.2417
1405,24.2742
1406,24.3253
1407,24.389
1408,24.4616
1409,24.5252
1410,24.5885
1411,24.6369
1412,24.6824
1413,24.6991
1414,24.6654
1415,24.6095
1416,24.5619
1417,24.5357
1418,24.5204
1419,24.506
1420,24.5022
1421,24.5121
1422,24.5396
1423,24.5628
1424,24.5638
1425,24.5835
1426,24.6164
1427,24.6428
1428,24.6816
1429,24.7302
1430,24.7388
1431,24.7307
1432,24.7274
1433,24.7432
1434,24.7673
1435,24.8046
1436,24.8276
1437,24.8521
1438,24.8643
1439,24.88
1440,24.889
1441,24.9092
1442,24.911
1443,24.9097
1444,24.9052
1445,24.8885
1446,24.8599
1447,24.8318
1448,24.8074
1449,24.7896
1450,24.7713
1451,24.7581
1452,24.7509
1453,24.7652
1454,24.7906
1455,24.8109
1456,24.8383
1457,24.8699
1458,24.8809
1459,24.8556
1460,24.8354
1461,24.821
1462,24.8036
1463,24.7814
1464,24.7686
1465,24.7591
1466,24.7547
1467,24.743
1468,24.7335
1469,24.7405
1470,24.7414
1471,24.7527
1472,24.7597
1473,24.776
1474,24.8089
1475,24.8378
1476,24.8497
1477,24.8859
1478,24.9242
1479,24.9544
1480,24.9618
1481,24.9541
1482,24.9376
1483,24.9328
1484,24.935
1485,24.9316
1486,24.9479
1487,24.9867
1488,25.0144
1489,25.0422
1490,25.0989
1491,25.1974
1492,25.308
1493,25.4166
1494,25.5163
1495,25.6131
1496,25.6798
1497,25.6948
1498,25.6952
1499,25.7136
1500,25.7093
1501,25.6882
1502,25.6615
1503,25.646
1504,25.6445
1505,25.6349
1506,25.6289
1507,25.6507
1508,25.6498
1509,25.6298
1510,25.6068
1511,25.5991
1512,25.6427
1513,25.668
1514,25.6887
1515,25.7338
1516,25.8114
1517,25.8739
1518,25.8934
1519,25.9175
1520,25.9339
1521,25.906
1522,25.87
1523,25.858
1524,25.8524
1525,25.849
1526,25.8501
1527,25.8489
1528,25.859
1529,25.8834
1530,25.921
1531,25.9713
1532,26.0532
1533,26.1529
1534,26.2446
1535,26.3077
1536,26.3704
